洛	luo4	surname Luo / old name of several rivers (in Henan, Shaanxi, Sichuan and Anhui)	lu	o4	各氵
洞	dong4	cave / hole / zero (unambiguous spoken form when spelling out numbers) / CL:個|个[ge4]	du	(e)ng4	同氵
洟	ti4	nasal mucus / Taiwan pr. [yi2]	ti	Ø4	夷氵
洢	yi1	old name of a river in Henan, now written 伊河	y	Ø1	伊氵
洣	mi3	Mi river in Hunan, tributary of Xiangjiang 湘江	mi	Ø3	氵米
津	jin1	saliva / sweat / a ferry crossing / a ford (river crossing) / abbr. for Tianjin 天津	ji	(e)n1	氵聿
洧	wei3	name of a river	w	ei3	有氵
洨	xiao2	Xiao River in Hebei province	xi	ao2	交氵
洪	hong2	surname Hong	hu	(e)ng2	共氵
洪	hong2	flood / big / great	hu	(e)ng2	共氵
洫	xu4	to ditch / a moat	xu	Ø4	氵血
洮	tao2	to cleanse / name of a river	t	ao2	兆氵
洱	er3	see 洱海[Er3 hai3]	Ø	Ø3	氵耳
洲	zhou1	continent / island	zh	ou1	州氵
洳	ru4	damp / boggy / marshy	ru	Ø4	如氵
洴	ping2	wash / bleach (fabric)	pi	(e)ng2	并氵
洵	xun2	truly / whirlpool	xu	(e)n2	旬氵
洸	guang1	sparkling water	gu	ang1	光氵
洹	huan2	name of a river	hu	an2	亘氵
洺	ming2	name of a river	mi	(e)ng2	名氵
活	huo2	to live / alive / living / work / workmanship	hu	o2	氵舌
洼	wa1	variant of 窪|洼[wa1]	w	a1	圭氵
窪	wa1	depression / sunken / swamp	w	a1	洼穴
洼	wa1	depression / sunken / swamp	w	a1	圭氵
洽	qia4	accord / to make contact / to agree / to consult with / extensive	qi	a4	合氵
派	pai4	clique / school / group / faction / to dispatch / to send / to assign / to appoint / pi (Greek letter Ππ) / the circular ratio pi = 3.1415926 / (loanword) pie	p	ai4	氵辰
洿	wu1	dig (a pond) / stagnant water	w	Ø1	夸氵
流	liu2	to flow / to disseminate / to circulate or spread / to move or drift / to degenerate / to banish or send into exile / stream of water or sth resembling one / class, rate or grade	li	ou2	㐬氵
浹	jia1	soaked / to wet / to drench / Taiwan pr. [jia2]	ji	a1	夾氵
浃	jia1	soaked / to wet / to drench / Taiwan pr. [jia2]	ji	a1	夹氵
浄	jing4	Japanese variant of 淨|净	ji	(e)ng4	争氵
淺	jian1	sound of moving water	ji	an1	戔氵
浅	jian1	sound of moving water	ji	an1	戋氵
淺	qian3	shallow / light (color)	qi	an3	戔氵
浅	qian3	shallow / light (color)	qi	an3	戋氵
漿	jiang1	broth / serum / to starch	ji	ang1	將水
浆	jiang1	broth / serum / to starch	ji	ang1	~收水
漿	jiang4	starch paste	ji	ang4	將水
浆	jiang4	starch paste	ji	ang4	~收水
澆	jiao1	to pour liquid / to irrigate (using waterwheel) / to water / to cast (molten metal) / to mold	ji	ao1	堯氵
浇	jiao1	to pour liquid / to irrigate (using waterwheel) / to water / to cast (molten metal) / to mold	ji	ao1	尧氵
湞	zhen1	river in Guangdong province	zh	(e)n1	氵貞
浈	zhen1	river in Guangdong province	zh	(e)n1	氵贞
浉	shi1	Shi, name of river in Xinyang 信陽|信阳, Henan	sh	Ø1	师氵
濁	zhuo2	turbid / muddy / impure	zhu	o2	氵蜀
浊	zhuo2	turbid / muddy / impure	zhu	o2	氵虫
測	ce4	side / to lean / to survey / to measure / conjecture	c	e4	則氵
测	ce4	side / to lean / to survey / to measure / conjecture	c	e4	则氵
澮	kuai4	drain / stream	ku	ai4	會氵
浍	kuai4	drain / stream	ku	ai4	会氵
濟	ji4	to cross a river / to aid or relieve / to be of help	ji	Ø4	氵齊
济	ji4	to cross a river / to aid or relieve / to be of help	ji	Ø4	氵齐
瀏	liu2	clear / deep (of water) / swift	li	ou2	劉氵
浏	liu2	clear / deep (of water) / swift	li	ou2	刘氵
滻	chan3	name of a river in Shaanxi province / see 滻河|浐河[Chan3 He2]	ch	an3	氵産
浐	chan3	name of a river in Shaanxi province / see 滻河|浐河[Chan3 He2]	ch	an3	产氵
渾	hun2	muddy / to mix	hu	(e)n2	氵軍
浑	hun2	muddy / to mix	hu	(e)n2	军氵
滸	hu3	bank of a river	hu	Ø3	氵許
浒	hu3	bank of a river	hu	Ø3	氵许
許	xu3	surname Xu	xu	Ø3	午言
许	xu3	surname Xu	xu	Ø3	午讠
許	xu3	to allow / to permit / to promise / to praise / somewhat / perhaps	xu	Ø3	午言
许	xu3	to allow / to permit / to promise / to praise / somewhat / perhaps	xu	Ø3	午讠
濃	nong2	concentrated / dense / strong (smell etc)	nu	(e)ng2	氵農
浓	nong2	concentrated / dense / strong (smell etc)	nu	(e)ng2	农氵
潯	xun2	name of a river / steep bank	xu	(e)n2	尋氵
浔	xun2	name of a river / steep bank	xu	(e)n2	寻氵
浙	zhe4	abbr. for Zhejiang 浙江 province in east China	zh	e4	折氵
淛	zhe4	variant of 浙[Zhe4]	zh	e4	制氵
浙	zhe4	variant of 浙[Zhe4]	zh	e4	折氵
浚	jun4	to deepen (e.g. a ditch) / to extract / to manage / ladle (old)	ju	(e)n4	夋氵
濬	jun4	variant of 浚[jun4]	ju	(e)n4	氵睿
浚	jun4	variant of 浚[jun4]	ju	(e)n4	夋氵
叡	rui4	variant of 睿[rui4]	ru	ei4	又
睿	rui4	variant of 睿[rui4]	ru	ei4	卜眘
眘					𡗜目
睿	rui4	astute / perspicacious / farsighted	ru	ei4	卜眘
浜	bang1	stream / creek	b	ang1	兵氵
浜	bin1	Japanese variant of 濱|滨[bin1] / used in Japanese place names such as Yokohama 橫浜|横浜[Heng2 bin1] with phonetic value hama	bi	(e)n1	兵氵
浠	xi1	name of a river in Hubei	xi	Ø1	希氵
浡	bo2	full / gushing (of fountain)	b	o2	孛氵
浣	huan4	to wash / to rinse / any of three 10-day division of the month (during Tang dynasty) / Taiwan pr. [huan3] / also pr. [wan3]	hu	an4	完氵
澣	huan4	variant of 浣[huan4]	hu	an4	幹氵
浣	huan4	variant of 浣[huan4]	hu	an4	完氵
浤	hong2	sound of water surging	hu	(e)ng2	宏氵
浥	yi4	damp / moist	y	Ø4	氵邑
浦	pu3	surname Pu	pu	Ø3	氵甫
浦	pu3	river bank / shore / river drainage ditch (old)	pu	Ø3	氵甫
浩	hao4	grand / vast (water)	h	ao4	告氵
浪	lang4	wave / breaker / unrestrained / dissipated	l	ang4	氵良
浬	li3	nautical mile	li	Ø3	氵里
浭	geng1	name of a river in Hebei	g	(e)ng1	更氵
浮	fu2	to float / superficial / floating / unstable / movable / provisional / temporary / transient / impetuous / hollow / inflated / to exceed / superfluous / excessive / surplus	fu	Ø2	孚氵
浯	wu2	(name of several rivers in China)	w	Ø2	吾氵
浰	li4	to attend (official functions)	li	Ø4	利氵
浴	yu4	bath / to bathe	yu	Ø4	氵谷
浼	mei3	to ask a favor of	m	ei3	免氵
浽	sui1	see 浽溦[sui1 wei1]	su	ei1	妥氵
塗	tu2	to apply (paint etc) / to smear / to daub / to blot out / to scribble / to scrawl / (literary) mud / street	tu	Ø2	土涂
涂	tu2	to apply (paint etc) / to smear / to daub / to blot out / to scribble / to scrawl / (literary) mud / street	tu	Ø2	余氵
涂	tu2	surname Tu	tu	Ø2	余氵
涂	tu2	variant of 途[tu2]	tu	Ø2	余氵
涅	nie4	to blacken / abbr. for 涅槃[nie4 pan2]	ni	e4	圼氵
湼	nie4	variant of 涅[nie4]	ni	e4	氵
涅	nie4	variant of 涅[nie4]	ni	e4	圼氵
消	xiao1	to disappear / to vanish / to eliminate / to spend (time) / have to / need	xi	ao1	氵肖
涉	she4	to wade / to be involved / to concern / to experience / to enter (classical)	sh	e4	步氵
涊	nian3	muddy water	ni	an3	忍氵
㳄	xian2	variant of 涎[xian2]	xi	an2	
涎	xian2	variant of 涎[xian2]	xi	an2	延氵
涎	xian2	saliva	xi	an2	延氵
涐	e2	old name for the Dadu River 大渡河[Da4 du4 He2] in Sichuan	Ø	e2	我氵
涑	su4	name of a river	su	Ø4	束氵
涒	tun1	planet Jupiter / vomit	tu	(e)n1	君氵
涓	juan1	surname Juan	ju	an1	氵肙
涓	juan1	brook / to select	ju	an1	氵肙
涔	cen2	overflow / rainwater / tearful	c	(e)n2	岑氵
涕	ti4	tears / nasal mucus	ti	Ø4	弟氵
涖					位氵
涘	si4	river bank	s	Ø4	氵矣
涙	lei4	Japanese variant of 淚|泪[lei4]	l	ei4	戻氵
濤	tao1	big wave / Taiwan pr. [tao2]	t	ao1	壽氵
涛	tao1	big wave / Taiwan pr. [tao2]	t	ao1	寿氵
澇	lao4	flooded	l	ao4	勞氵
涝	lao4	flooded	l	ao4	劳氵
淶	lai2	brook / ripple	l	ai2	來氵
涞	lai2	brook / ripple	l	ai2	来氵
漣	lian2	ripple / tearful	li	an2	氵連
涟	lian2	ripple / tearful	li	an2	氵连
潿	wei2	still water	w	ei2	圍氵
涠	wei2	still water	w	ei2	围氵
渦	guo1	name of a river	gu	o1	咼氵
涡	guo1	name of a river	gu	o1	呙氵
渦	wo1	eddy / whirlpool	w	o1	咼氵
涡	wo1	eddy / whirlpool	w	o1	呙氵
溳	yun2	(name of a river in Hebei)	yu	(e)n2	員氵
涢	yun2	(name of a river in Hebei)	yu	(e)n2	员氵
渙	huan4	to dissipate / to dissolve	hu	an4	奐氵
涣	huan4	to dissipate / to dissolve	hu	an4	奂氵
滌	di2	to wash / to cleanse	di	Ø2	條氵
涤	di2	to wash / to cleanse	di	Ø2	条氵
潤	run4	to moisten / to lubricate / to embellish / moist / glossy / sleek	ru	(e)n4	氵閏
润	run4	to moisten / to lubricate / to embellish / moist / glossy / sleek	ru	(e)n4	氵闰
閏	run4	intercalary / an extra day or month inserted into the lunar or solar calendar (such as February 29)	ru	(e)n4	王門
闰	run4	intercalary / an extra day or month inserted into the lunar or solar calendar (such as February 29)	ru	(e)n4	王门
㵎	jian4	variant of 澗|涧[jian4]	ji	an4	
涧	jian4	variant of 澗|涧[jian4]	ji	an4	氵间
間	jian1	between / among / within a definite time or space / room / section of a room or lateral space between two pairs of pillars / classifier for rooms	ji	an1	日門
间	jian1	between / among / within a definite time or space / room / section of a room or lateral space between two pairs of pillars / classifier for rooms	ji	an1	日门
間	jian4	gap / to separate / to thin out (seedlings) / to sow discontent	ji	an4	日門
间	jian4	gap / to separate / to thin out (seedlings) / to sow discontent	ji	an4	日门
澗	jian4	mountain stream	ji	an4	氵間
涧	jian4	mountain stream	ji	an4	氵间
漲	zhang3	to rise (of prices, rivers)	zh	ang3	張氵
涨	zhang3	to rise (of prices, rivers)	zh	ang3	张氵
漲	zhang4	to swell / to distend	zh	ang4	張氵
涨	zhang4	to swell / to distend	zh	ang4	张氵
澀	se4	astringent / tart / acerbity / unsmooth / rough (surface) / hard to understand / obscure	s	e4	歰氵
涩	se4	astringent / tart / acerbity / unsmooth / rough (surface) / hard to understand / obscure	s	e4	氵
澁	se4	old variant of 澀|涩[se4]	s	e4	歮氵
涩	se4	old variant of 澀|涩[se4]	s	e4	氵
涪	fu2	(name of a river)	fu	Ø2	咅氵
涫	guan4	(classical) to boil	gu	an4	官氵
涬	xing4	watery expanse	xi	(e)ng4	幸氵
涮	shuan4	to rinse / to trick / to fool sb / to cook by dipping finely sliced ingredients briefly in boiling water or soup (generally done at the dining table)	shu	an4	刷氵
涯	ya2	border / horizon / shore	y	a2	厓氵
液	ye4	liquid / fluid / Taiwan pr. [yi4]	y	e4	夜氵
涴	wo4	to soil	w	o4	宛氵
涵	han2	to contain / to include / culvert	h	an2	函氵
涶	tuo4	variant of 唾[tuo4]	tu	o4	垂氵
涷	dong1	rainstorm	du	(e)ng1	東氵
涸	he2	to dry / to dry up	h	e2	固氵
涿	zhuo1	place name	zhu	o1	氵豖
淀	dian4	shallow water	di	an4	定氵
澱	dian4	sediment / precipitate	di	an4	殿氵
淀	dian4	sediment / precipitate	di	an4	定氵
淂	de2	(river) / old variant of 得[de2]	d	e2	㝵氵
淄	zi1	black / name of a river	z	Ø1	氵甾
甾	zai1	steroid nucleus	z	ai1	巛田
淅	xi1	(onom.) sound of rain, sleet etc	xi	Ø1	析氵
殽	xiao2	variant of 淆[xiao2]	xi	ao2	殳肴
淆	xiao2	variant of 淆[xiao2]	xi	ao2	氵肴
淆	xiao2	confused and disorderly / mixed / Taiwan pr. [yao2]	xi	ao2	氵肴
淇	qi2	name of a river	qi	Ø2	其氵
淊	yan1	variant of 淹[yan1] / to flood	y	an1	氵臽
淋	lin2	to sprinkle / to drip / to pour / to drench	li	(e)n2	林氵
淋	lin4	to filter / to strain / to drain / gonorrhea / (TCM) strangury	li	(e)n4	林氵
淌	tang3	to drip / to trickle / to shed (tears)	t	ang3	尚氵
淑	shu1	warm and virtuous / (used in given names) / Taiwan pr. [shu2]	shu	Ø1	叔氵
淓	fang1	name of a river	f	ang1	氵芳
芳	fang1	fragrant	f	ang1	卄方
淖	nao4	surname Nao	n	ao4	卓氵
淖	nao4	slush / mud	n	ao4	卓氵
淘	tao2	to wash / to clean out / to cleanse / to eliminate / to dredge	t	ao2	匋氵
淙	cong2	noise of water	cu	(e)ng2	宗氵
淜	peng2	roar of dashing waves	p	(e)ng2	朋氵
淝	fei2	name of a river	f	ei2	氵肥
淞	song1	name of a river in Jiangsu Province	su	(e)ng1	松氵
淞	song1	variant of 凇[song1]	su	(e)ng1	松氵
淟	tian3	turbid / muddy	ti	an3	典氵
淠	pi4	luxuriant (of water plants)	pi	Ø4	氵畀
淡	dan4	insipid / diluted / weak / mild / light in color / tasteless / fresh / indifferent / nitrogen	d	an4	氵炎
淢	yu4	moat / swift current	yu	Ø4	或氵
淤	yu1	silt / river sludge / to silt up / choked with silt / variant of 瘀[yu1]	yu	Ø1	於氵
淥					彔氵
淦	gan4	name of a river	g	an4	氵金
淩	ling2	variant of 凌[ling2]	li	(e)ng2	夌氵
淫	yin2	excess / excessive / wanton / lewd / lascivious / obscene / depraved	y	(e)n2	㸒氵
滛	yin2	erroneous variant of 淫[yin2]	y	(e)n2	山氵爫牛
淫	yin2	erroneous variant of 淫[yin2]	y	(e)n2	㸒氵
淬	cui4	dip into water / to temper	cu	ei4	卒氵
淯	yu4	name of river / old name of Baihe 白河 in Henan / same as 育水	yu	Ø4	氵育
淰	nian3	calm water	ni	an3	念氵
㴱	shen1	old variant of 深[shen1]	sh	(e)n1	
深	shen1	old variant of 深[shen1]	sh	(e)n1	氵罙
深	shen1	close / deep / late / profound / dark (of color, water etc)	sh	(e)n1	氵罙
淳	chun2	genuine / pure / honest	chu	(e)n2	享氵
湻	chun2	old variant of 淳[chun2]	chu	(e)n2	亯氵
淳	chun2	old variant of 淳[chun2]	chu	(e)n2	享氵
混	hun2	confused / dirty / to mix / muddy / variant of 渾|浑[hun2]	hu	(e)n2	昆氵
混	hun4	to mix / to mingle / muddled / to drift along / to muddle along / to pass for / to get along with sb / thoughtless / reckless	hu	(e)n4	昆氵
淸	qing1	variant of 清[qing1]	qi	(e)ng1	氵靑
靑	qing1	variant of 青[qing1]	qi	(e)ng1	龶円
淹	yan1	to flood / to submerge / to drown / to irritate the skin (of liquids) / to delay	y	an1	奄氵
添	tian1	to add / to increase / to replenish	ti	an1	忝氵
淼	miao3	a flood / infinity	mi	ao3	水
清	qing1	Qing or Ch'ing dynasty of Imperial China (1644-1911) / surname Qing	qi	(e)ng1	氵青
清	qing1	clear / distinct / quiet / just and honest / pure / to settle or clear up / to clean up or purge	qi	(e)ng1	氵青
渇	ke3	Japanese variant of 渴	k	e3	匂日氵
済	ji4	Japanese variant of 濟|济	ji	Ø4	斉氵
渉	she4	Japanese variant of 涉[she4]	sh	e4	歩氵
淵	yuan1	deep pool / deep / profound	yu	an1	𣶒氵
渊	yuan1	deep pool / deep / profound	yu	an1	𫃢氵
𫃢					
渋	se4	Japanese variant of 澀|涩[se4]	s	e4	氵
淥	lu4	clear (water) / strain liquids	lu	Ø4	彔氵
渌	lu4	clear (water) / strain liquids	lu	Ø4	录氵
漬	zi4	to soak / to be stained / stain / floodwater	z	Ø4	氵責
渍	zi4	to soak / to be stained / stain / floodwater	z	Ø4	氵责
瀆	du2	ditch / trouble (some one to do)	du	Ø2	氵賣
渎	du2	ditch / trouble (some one to do)	du	Ø2	卖氵
漸	jian1	to imbue	ji	an1	斬氵
渐	jian1	to imbue	ji	an1	斩氵
漸	jian4	gradual / gradually	ji	an4	斬氵
渐	jian4	gradual / gradually	ji	an4	斩氵
澠	sheng2	name of a river in Shandong	sh	(e)ng2	氵黽
渑	sheng2	name of a river in Shandong	sh	(e)ng2	氵黾
黽	min3	toad	mi	(e)n3	
黾	min3	toad	mi	(e)n3	口电
渓	xi1	Japanese variant of 溪[xi1]	xi	Ø1	氵
漁	yu2	fisherman / to fish	yu	Ø2	氵魚
渔	yu2	fisherman / to fish	yu	Ø2	氵鱼
渕	yuan1	variant of 淵|渊[yuan1]	yu	an1	氵
渖	shen3	old variant of 瀋|沈[shen3]	sh	(e)n3	审氵
滲	shen4	to seep / to ooze / to horrify	sh	(e)n4	參氵
渗	shen4	to seep / to ooze / to horrify	sh	(e)n4	参氵
渚	zhu3	islet / bank	zhu	Ø3	氵者
渝	yu2	short name for Chongqing 重慶|重庆[Chong2 qing4] / old name of Jialing river 嘉陵江[Jia1 ling2 jiang1] in Sichuan	yu	Ø2	俞氵
渟	ting2	stagnant water	ti	(e)ng2	亭氵
渠	qu2	surname Qu	qu	Ø2	木洰
洰					巨氵
渠	ju4	how can it be that?	ju	Ø4	木洰
渠	qu2	big / stream or canal / drain / ditch / CL:條|条[tiao2] / him (dialect) / outer rim of a carriage wheel (old)	qu	Ø2	木洰
渡	du4	to cross / to pass through / to ferry	du	Ø4	度氵
渢	feng2	buoyant / floating	f	(e)ng2	氵風
渣	zha1	slag (in mining or smelting) / dregs	zh	a1	查氵
渤	bo2	same as 渤海[Bo2 Hai3], Bohai Sea between Liaoning and Shandong / Gulf of Zhili or Chihli	b	o2	勃氵
渥	wo4	to enrich / to moisten	w	o4	屋氵
渧	di4	to drop, as liquids / a drop	di	Ø4	帝氵
渨	wei1	cove / bay / a bend or nook in the hills / the curve of a bow	w	ei1	氵畏
溫	wen1	surname Wen	w	(e)n1	𥁕氵
温	wen1	surname Wen	w	(e)n1	昷氵
溫	wen1	warm / lukewarm / temperature / to warm up / mild / soft / tender / to review / to revise / epidemic	w	(e)n1	𥁕氵
温	wen1	warm / lukewarm / temperature / to warm up / mild / soft / tender / to review / to revise / epidemic	w	(e)n1	昷氵
渫	xie4	surname Xie	xi	e4	枼氵
渫	xie4	to get rid of / to discharge / to dredge	xi	e4	枼氵
渭	wei4	the Wei River in Shaanxi through the Guanzhong 關中|关中 plain	w	ei4	氵胃
渮	ge1	place name	g	e1	氵苛
苛	ke1	severe / exacting	k	e1	卄可
港	gang3	Hong Kong, abbr. for 香港[Xiang1 gang3] / surname Gang	g	ang3	巷氵
港	gang3	harbor / port / CL:個|个[ge4]	g	ang3	巷氵
渰	yan3	(of cloud) forming or rising	y	an3	弇氵
渲	xuan4	wash (color)	xu	an4	宣氵
渴	ke3	thirsty	k	e3	曷氵
渶	ying1	river in Shandong Province (old)	y	(e)ng1	氵英
游	you2	surname You	y	ou2	斿氵
游	you2	to swim / variant of 遊|游[you2]	y	ou2	斿氵
遊	you2	to walk / to tour / to roam / to travel	y	ou2	斿辶
游	you2	to walk / to tour / to roam / to travel	y	ou2	斿氵
渺	miao3	(of an expanse of water) vast / distant and indistinct / tiny or insignificant	mi	ao3	氵眇
眇	miao3	blind in one eye / blind / tiny / humble / to stare	mi	ao3	少目
渼	mei3	ripple pattern	m	ei3	氵美
湃	pai4	sound of waves	p	ai4	拜氵
湄	mei2	brink / edge	m	ei2	氵眉
湅	lian4	boil raw silk	li	an4	柬氵
湉	tian2	(literary) smoothly flowing, placid (water)	ti	an2	恬氵
湋	wei2	to flow back (of water)	w	ei2	氵韋
湍	tuan1	to rush (of water)	tu	an1	氵耑
湎	mian3	drunk	mi	an3	氵面
湑	xu3	abundant / bright / strain spirits	xu	Ø3	氵胥
湓	pen2	flowing of water / name of a river	p	(e)n2	氵盆
盆	pen2	basin / flower pot / unit of volume equal to 12 斗 and 8 升, approx 128 liters / CL:個|个[ge4]	p	(e)n2	分皿
湔	jian1	to wash / to redress (a wrong) / name of a river	ji	an1	前氵
湖	hu2	lake / CL:個|个[ge4],片[pian4]	hu	Ø2	氵胡
湘	xiang1	abbr. for Hunan 湖南 province in south central China / abbr. for Xiangjiang river in Hunan province	xi	ang1	氵相
湛	zhan4	surname Zhan	zh	an4	氵甚
湛	zhan4	deep / clear (water)	zh	an4	氵甚
湜	shi2	clear water / pure	sh	Ø2	是氵
湝	jie1	flowing (of water)	ji	e1	氵皆
湟	huang2	name of a river	hu	ang2	氵皇
湢	bi4	public bathhouse	bi	Ø4	氵畐
湣	min3	mixed, confused / pity	mi	(e)n3	昬氵
湩	dong4	milk / sound of a drum	du	(e)ng4	氵重
湫	jiao3	marsh	ji	ao3	氵秋
湮	yan1	to inundate / to bury / to cover up / obscured / submerged	y	an1	垔氵
湮	yin1	variant of 洇[yin1]	y	(e)n1	垔氵
湱	huo4	dashing of waves	hu	o4	氵砉
砉	hua1	sound of a thing flying fast by / whoosh / cracking sound / Taiwan pr. [huo4]	hu	a1	丰石
砉	xu1	sound of flaying	xu	Ø1	丰石
湲	yuan2	rushing (water)	yu	an2	氵爰
湴	ban4	mud / slush / ooze	b	an4	並氵
湴	pan2	to wade through water or mud	p	an2	並氵
灣	wan1	bay / gulf / to cast anchor / to moor (a boat)	w	an1	彎氵
湾	wan1	bay / gulf / to cast anchor / to moor (a boat)	w	an1	弯氵
溼	shi1	variant of 濕|湿[shi1]	sh	Ø1	𡌥氵
湿	shi1	variant of 濕|湿[shi1]	sh	Ø1	显氵
𡌥					
濕	shi1	moist / wet	sh	Ø1	㬎氵
湿	shi1	moist / wet	sh	Ø1	显氵
満	man3	Japanese variant of 滿|满	m	an3	両卄氵
潰	kui4	to be dispersed / to break down / to fester / to ulcerate	ku	ei4	氵貴
溃	kui4	to be dispersed / to break down / to fester / to ulcerate	ku	ei4	氵贵
濺	jian4	to splash	ji	an4	氵賤
溅	jian4	to splash	ji	an4	氵贱
賤	jian4	inexpensive / lowly	ji	an4	戔貝
贱	jian4	inexpensive / lowly	ji	an4	戋贝
漵	xu4	name of a river	xu	Ø4	敘氵
溆	xu4	name of a river	xu	Ø4	叙氵
溉	gai4	to irrigate	g	ai4	既氵
溍	jin4	water / name of a river	ji	(e)n4	晋氵
溎	gui4	name of a river	gu	ei4	桂氵
溏	tang2	noncoagulative / pond	t	ang2	唐氵
源	yuan2	root / source / origin	yu	an2	原氵
溘	ke4	suddenly	k	e4	氵盍
溛	wa1	to form hollow / pit	w	a1	氵窊
溜	liu1	to slip away / to escape in stealth / to skate	li	ou1	氵留
溟	ming2	to drizzle / sea	mi	(e)ng2	冥氵
溠	zha4	name of a river	zh	a4	差氵
溢	yi4	to overflow	y	Ø4	氵益
溤	ma3	name of a river	m	a3	氵馬
溦	wei1	drizzle / fine rain	w	ei1	氵
溧	li4	name of a river	li	Ø4	栗氵
溪	xi1	creek / rivulet	xi	Ø1	奚氵
谿	xi1	variant of 溪[xi1]	xi	Ø1	奚谷
溪	xi1	variant of 溪[xi1]	xi	Ø1	奚氵
溮	shi1	river in Henan province	sh	Ø1	師氵
溯	su4	to go upstream / to trace the source	su	Ø4	朔氵
遡	su4	variant of 溯[su4]	su	Ø4	朔辶
溯	su4	variant of 溯[su4]	su	Ø4	朔氵
溱	zhen1	name of a river	zh	(e)n1	氵秦
溲	sou1	to urinate	s	ou1	叟氵
溴	xiu4	bromine (chemistry)	xi	ou4	氵臭
溵	yin1	used in place-names, e.g. 溵水 was once the name of the Shahe River 沙河, Henan, and 溵州 was a Tang Dynasty prefecture	y	(e)n1	殷氵
溶	rong2	to dissolve / soluble	ru	(e)ng2	容氵
溷	hun4	privy / animal pen / muddy / disordered / to disturb	hu	(e)n4	圂氵
溺	ni4	to drown / to indulge / addicted to / to spoil (a child)	ni	Ø4	弱氵
溺	niao4	variant of 尿[niao4]	ni	ao4	弱氵
溻	ta1	(of clothes) to be soaked with sweat	t	a1	𦐇氵
溽	ru4	damp / muggy	ru	Ø4	氵辱
溾	wei1	light rain	w	ei1	氵鬼
滁	chu2	name of a river in Anhui	chu	Ø2	氵除
除	chu2	to get rid of / to remove / to exclude / to eliminate / to wipe out / to divide / except / not including	chu	Ø2	余阝
滂	pang1	rushing (water)	p	ang1	旁氵
滃	weng3	(of clouds) to rise / (of water) to swell	w	(e)ng3	氵翁
滅					氵烕
滇	dian1	abbr. for Yunnan Province 雲南|云南[Yun2 nan2] in southwest China	di	an1	氵真
滉	huang3	bright expanse of water	hu	ang3	晃氵
滊	xi4	name of a river	xi	Ø4	氣氵
滊	xie1	saline pond	xi	e1	氣氵
滋	zi1	to grow / to nourish / to increase / to cause / juice / taste / (dialect) to spout / to spurt	z	Ø1	兹氵
滎					水炏
滏	fu3	name of a river in Hebei	fu	Ø3	氵釜
釜	fu3	kettle / cauldron	fu	Ø3	父金
滑	hua2	surname Hua	hu	a2	氵骨
滑	hua2	to slip / to slide / smooth / slippery / cunning	hu	a2	氵骨
滓	zi3	dregs / sediment	z	Ø3	宰氵
滔	tao1	overflow / torrent-dash	t	ao1	氵舀
滕	teng2	vassal state of Zhou in Shandong / Teng county in Shandong / surname Teng	t	(e)ng2	𣳾月
𣳾					
潷	bi4	to drain / to strain / to decant	bi	Ø4	氵筆
滗	bi4	to drain / to strain / to decant	bi	Ø4	氵笔
筆	bi3	pen / pencil / writing brush / to write or compose / the strokes of Chinese characters / classifier for sums of money, deals / CL:支[zhi1],枝[zhi1]	bi	Ø3	⺮聿
笔	bi3	pen / pencil / writing brush / to write or compose / the strokes of Chinese characters / classifier for sums of money, deals / CL:支[zhi1],枝[zhi1]	bi	Ø3	⺮毛
滘	jiao4	place name in Guangdong	ji	ao4	氵
滾	gun3	to boil / to roll / to take a hike / Get lost!	gu	(e)n3	氵袞
滚	gun3	to boil / to roll / to take a hike / Get lost!	gu	(e)n3	氵衮
袞	gun3	imperial robe	gu	(e)n3	㕣衣
衮	gun3	imperial robe	gu	(e)n3	公衣
滝	long2	Japanese variant of 瀧|泷[long2]	lu	(e)ng2	氵竜
竜	long2	Japanese variant of 龍|龙	lu	(e)ng2	电立
滯	zhi4	sluggish	zh	Ø4	帶氵
滞	zhi4	sluggish	zh	Ø4	带氵
灩	yan4	tossing of billows	y	an4	氵豔
滟	yan4	tossing of billows	y	an4	氵艳
艶	yan4	variant of 艷|艳[yan4]	y	an4	色豊
艳	yan4	variant of 艷|艳[yan4]	y	an4	丰色
色	se4	color / CL:種|种[zhong3] / look / appearance / sex	s	e4	⺈巴
色	shai3	color / dice	sh	ai3	⺈巴
艷	yan4	colorful / splendid / gaudy / amorous / romantic / to envy	y	an4	色豐
艳	yan4	colorful / splendid / gaudy / amorous / romantic / to envy	y	an4	丰色
豓	yan4	old variant of 豔|艳[yan4]	y	an4	盇豐
艳	yan4	old variant of 豔|艳[yan4]	y	an4	丰色
豔	yan4	variant of 艷|艳[yan4]	y	an4	盍豐
艳	yan4	variant of 艷|艳[yan4]	y	an4	丰色
灄	she4	name of a river	sh	e4	氵聶
滠	she4	name of a river	sh	e4	氵聂
瀅	ying2	clear / limpid (of water)	y	(e)ng2	氵瑩
滢	ying2	clear / limpid (of water)	y	(e)ng2	氵莹
瑩	ying2	luster of gems	y	(e)ng2	炏玉
莹	ying2	luster of gems	y	(e)ng2	玉艹
濾	lu:4	to strain / to filter			慮氵
滤	lu:4	to strain / to filter			氵虑
濫	lan4	overflowing / excessive / indiscriminate	l	an4	氵監
滥	lan4	overflowing / excessive / indiscriminate	l	an4	氵监
灤	luan2	river and county in Hebei Province	lu	an2	欒氵
